GENEID	P
SLCO4A1	1.38168e-4
ST6GAL1	1.39034e-4
IFT172	1.41121e-4
MT1DP	1.41121e-4
AC007563.1	1.41121e-4
TMEM151A	1.41867e-4
SLC17A9	1.42409e-4
RALA	1.43077e-4
MR1	1.43749e-4
RP11-351J23.2	1.44695e-4
PPM1N	1.45099e-4
PMEPA1	1.45272e-4
HTR3B	1.45395e-4
C1QTNF4	1.45395e-4
RP11-341A11.2	1.46728e-4
PDLIM1P4	1.46728e-4
MIR3936	1.46918e-4
RP11-221N13.3	1.4911e-4
RBBP8NL	1.50567e-4
DAPK1	1.50708e-4
CTC-537E7.3	1.50859e-4
ACVRL1	1.51512e-4
WNT7B	1.51512e-4
RP11-310A13.2	1.52561e-4
AIF1L	1.52873e-4
TAS2R5	1.52873e-4
STK11IP	1.52873e-4
DRAXIN	1.53585e-4
TUBBP1	1.5394e-4
AOC4P	1.5394e-4
TMEM91	1.55983e-4
PAQR6	1.56155e-4
RBM48	1.56904e-4
CLIC1	1.57108e-4
RP11-286B14.1	1.61249e-4
PLCE1	1.62693e-4
HERC2P3	1.62693e-4
OSBP2	1.63415e-4
BBS5	1.64524e-4
RHOQP2	1.65199e-4
DSG2	1.66131e-4
PRKRIP1	1.66351e-4
BCAR3	1.66425e-4
JMJD7	1.66992e-4
PCDH12	1.67426e-4
CASKIN2	1.67802e-4
NKAIN3	1.67876e-4
TCEA3	1.70604e-4
CTD-2201I18.1	1.70824e-4
KIF5C	1.71596e-4
CLN3	1.73674e-4
PTGS1	1.75808e-4
PKN3	1.75808e-4
CFH	1.75809e-4
YAP1	1.75809e-4
RP11-168O16.1	1.75809e-4
MFI2	1.7711e-4
CCRL2	1.77314e-4
FTLP3	1.77386e-4
BLNK	1.78154e-4
CFD	1.78846e-4
MYH7	1.81469e-4
RP11-747H7.3	1.83406e-4
METTL7B	1.84295e-4
ZSCAN31	1.84859e-4
CCDC6	1.86077e-4
MRC2	1.86641e-4
RP5-1147A1.2	1.87168e-4
INADL	1.90058e-4
NAALADL1	1.90058e-4
OR4N3P	1.90823e-4
CARD6	1.91867e-4
RP11-14I17.3	1.91867e-4
TFR2	1.92505e-4
WAS	1.92832e-4
IDH2	1.92832e-4
IL11RA	1.92946e-4
DPAGT1	1.93342e-4
CASR	1.9463e-4
RP1-159A19.4	1.95403e-4
SCN9A	1.95554e-4
LRRC32	1.95961e-4
YPEL4	1.97097e-4
LINC00202-2	1.97097e-4
MMS19	2.01401e-4
TCTN2	2.02061e-4
IGHEP2	2.02802e-4
TRAV8-3	2.02939e-4
LCTL	2.03149e-4
INF2	2.05617e-4
RNF207	2.06097e-4
FGD2	2.06298e-4
PPP1R3E	2.06739e-4
GET4	2.08396e-4
PEX5L	2.08795e-4
RHBG	2.09117e-4
GATA6	2.09164e-4
SLITRK2	2.09164e-4
NCKIPSD	2.0933e-4
CTB-113P19.5	2.10722e-4
HMCN1	2.10873e-4
ALOX5	2.12794e-4
LINC00475	2.12837e-4
LIMS2	2.13132e-4
CCDC113	2.14361e-4
NFIX	2.15754e-4
ZNF669	2.15754e-4
AGGF1P2	2.15754e-4
VWA8P1	2.16507e-4
CTC-203F4.2	2.18415e-4
BCAS1	2.18431e-4
ZNF155	2.18431e-4
C10orf105	2.19836e-4
MCTP2	2.20064e-4
RAD52	2.21086e-4
PUM1	2.21479e-4
SIGLEC14	2.21971e-4
RP11-594N15.3	2.23212e-4
ARHGAP6	2.23382e-4
PET112	2.24059e-4
KCNN2	2.24621e-4
GABRQ	2.24977e-4
TNFRSF14	2.25745e-4
A4GALT	2.26521e-4
SLC52A3	2.26588e-4
RP11-3N2.13	2.28188e-4
RP11-305L7.1	2.29098e-4
LIMA1	2.298e-4
SNRPGP14	2.298e-4
NLRP4	2.32218e-4
FUT8	2.3317e-4
METTL2A	2.33358e-4
THRAP3	2.33973e-4
RP11-16C1.2	2.3494e-4
LIPG	2.34994e-4
HK3	2.35797e-4
RP11-268J15.5	2.36302e-4
DSEL	2.37136e-4
RNU6-618P	2.37547e-4
RP1-273G13.2	2.38825e-4
RP6-91H8.1	2.39828e-4
NAAA	2.39889e-4
C7orf50	2.40661e-4
RP11-415A20.1	2.42981e-4
PAIP2B	2.4721e-4
SYTL3	2.47713e-4
AP001469.9	2.47713e-4
CBL	2.48342e-4
LPIN1	2.48441e-4
CSF1R	2.53709e-4
ESR1	2.54698e-4
KIAA1210	2.61557e-4
SHB	2.61955e-4
NEK11	2.62472e-4
PCDHGC3	2.68177e-4
KLF10	2.70579e-4
DACH1	2.7161e-4
AL137127.1	2.74324e-4
ABHD14B	2.75037e-4
DNAH9	2.76773e-4
FHL1	2.76773e-4
LUZP2	2.76773e-4
LL22NC01-116C6.1	2.77344e-4
SERPINB9	2.78299e-4
CDC34	2.78636e-4
LINC00498	2.78636e-4
METTL7A	2.78679e-4
SLC35G1	2.7986e-4
ABCA17P	2.80616e-4
ASB3	2.80626e-4
LPL	2.81541e-4
BACE1	2.822e-4
C1orf122	2.82247e-4
RP11-308D16.4	2.82248e-4
SERPINA5	2.82392e-4
OLIG2	2.82879e-4
RP1-273G13.3	2.83088e-4
DIO3	2.83669e-4
NDUFA5P4	2.86744e-4
RP11-79E3.2	2.86744e-4
RP11-454P7.1	2.86744e-4
AC104532.4	2.86744e-4
DENND3	2.87795e-4
SOCS5P4	2.87795e-4
SLC37A2	2.88055e-4
CNGB1	2.89419e-4
CACNA1C-AS4	2.89904e-4
PLEKHG2	2.90996e-4
HIST1H4L	2.93136e-4
EEF1A1P22	2.93136e-4
RN7SL805P	2.93136e-4
SCRN3	2.93317e-4
EIF3A	2.9488e-4
FOLR2	2.9488e-4
7SK	2.9488e-4
RP11-1246C19.1	2.9488e-4
N4BP2L1	2.96159e-4
LINC00863	3.05058e-4
HDAC10	3.06076e-4
EZH1	3.06076e-4
FIGN	3.06122e-4
C17orf72	3.0628e-4
RPRM	3.06303e-4
CHKA	3.07545e-4
JHDM1D-AS1	3.08964e-4
CPEB2-AS1	3.12371e-4
TMEM254-AS1	3.13513e-4
C6orf3	3.15332e-4
MTRNR2L8	3.16577e-4
SNORD20	3.16645e-4
CTSZ	3.17453e-4
KCNS1	3.17891e-4
SLC9B1	3.18637e-4
PHC1	3.235e-4
CLDN18	3.24454e-4
HIST1H4K	3.2451e-4
RP11-106M3.3	3.2451e-4
AL365202.1	3.24536e-4
MICAL1	3.28036e-4
ODF3B	3.29174e-4
VWFP1	3.29763e-4
VAV1	3.31561e-4
AC097359.1	3.31561e-4
MSANTD3	3.32241e-4
C12orf42	3.32356e-4
PLA2G2C	3.32974e-4
FAM210B	3.33441e-4
MEPE	3.34431e-4
CTC-462L7.1	3.34431e-4
ACADVL	3.38148e-4
AC003051.1	3.40902e-4
CTD-2540B15.10	3.41513e-4
EXOSC10	3.42931e-4
AC003090.1	3.4936e-4
RP11-461F11.1	3.4936e-4
AHNAK	3.5087e-4
SNORD3D	3.5087e-4
RP11-49I11.1	3.52184e-4
CTD-2297D10.2	3.53807e-4
B3GNT2	3.54359e-4
SLC18B1	3.54791e-4
RP11-474D1.3	3.54791e-4
FAM129A	3.56562e-4
PAN2	3.58378e-4
HIST1H4J	3.60322e-4
COL1A2	3.62366e-4
CNP	3.6595e-4
RP11-305L7.5	3.66617e-4
TMEM30B	3.69924e-4
RP11-885B4.2	3.69991e-4
RP11-241I20.1	3.7293e-4
ELK1	3.73313e-4
ECSCR	3.73313e-4
RP1-111D6.3	3.73744e-4
MAP1LC3A	3.744e-4
IGSF5	3.744e-4
RP11-531A24.5	3.744e-4
LPCAT2BP	3.77547e-4
NKX2-2	3.77904e-4
AC107079.1	3.77904e-4
RP11-95H11.1	3.78374e-4
FAM46C	3.78927e-4
RP11-556E13.1	3.78927e-4
RP11-380L11.4	3.78927e-4
CTD-2147F2.2	3.7993e-4
ARHGEF26-AS1	3.82432e-4
RP11-193H5.1	3.82846e-4
MTRF1	3.83588e-4
PPP2R3A	3.86128e-4
COL3A1	3.86875e-4
FAM159A	3.88536e-4
hsa-mir-6723	3.91793e-4
ECD	3.93952e-4
JMJD7-PLA2G4B	3.93987e-4
FXYD7	3.94162e-4
CCDC112	3.94412e-4
C11orf35	3.9809e-4
RAI14	3.99482e-4
NOTCH4	4.00462e-4
RP11-62E14.2	4.00462e-4
NREP-AS1	4.00462e-4
COL9A2	4.03566e-4
GAB3	4.04388e-4
CXXC5	4.04388e-4
LINC00982	4.04388e-4
GS1-410F4.4	4.04388e-4
MAGEE2	4.04828e-4
KRT19P2	4.05372e-4
RP11-296I10.6	4.06872e-4
GNL2	4.09894e-4
KLF16	4.13433e-4
RP11-33O4.1	4.13433e-4
RN7SL689P	4.14241e-4
CTC-273B12.10	4.14241e-4
TUBG1P	4.16425e-4
CASP4	4.17091e-4
ANGPTL2	4.17428e-4
PRRT1	4.19696e-4
RP11-218M11.1	4.20331e-4
PARD3	4.20377e-4
RP11-1180F24.1	4.20377e-4
CDK6	4.21425e-4
PLA2G7	4.22284e-4
C5AR1	4.23212e-4
COX10-AS1	4.24327e-4
FBXO17	4.2626e-4
BPIFC	4.28434e-4
RN7SL716P	4.28434e-4
RP11-347H15.1	4.33891e-4
RP13-104F24.3	4.33996e-4
TAS2R3	4.36768e-4
HEMGN	4.37633e-4
C6orf223	4.38188e-4
XDH	4.39852e-4
RP11-68I3.5	4.41214e-4
RP5-921G16.1	4.41547e-4
AGRN	4.43046e-4
EIF4BP2	4.50204e-4
NSDHL	4.50627e-4
GPR83	4.54492e-4
PLCB2	4.55506e-4
DNAH10OS	4.55506e-4
AC007308.6	4.58538e-4
EGR1	4.6634e-4
UGT2B17	4.68518e-4
FRK	4.68958e-4
VN1R42P	4.77278e-4
DES	4.79874e-4
HMGCS1	4.80857e-4
AL359195.1	4.8124e-4
LRRC2	4.82428e-4
SEC23IP	4.83115e-4
CSPG5	4.83539e-4
ZNF57	4.83539e-4
MEX3B	4.83539e-4
ZNF229	4.8465e-4
CTD-2349P21.10	4.8465e-4
HIPK3	4.92687e-4
S1PR2	4.92687e-4
RASGRF1	4.93707e-4
CCL4	4.93707e-4
TBC1D1	4.96104e-4
C1orf132	4.96262e-4
MGST1	4.97235e-4
INPP5D	4.97503e-4
GLB1	4.97503e-4
PRMT6	4.97931e-4
HES1	4.98503e-4
PPP1R14C	4.98557e-4
WDR86	5.04333e-4
SNORD115-18	5.04333e-4
CD300LF	5.10911e-4
STRN	5.11951e-4
LPIN3	5.11951e-4
SPATA41	5.11951e-4
RP1-265C24.5	5.11951e-4
POC1A	5.15098e-4
NRK	5.21275e-4
LINC00086	5.23201e-4
RP11-678G15.1	5.24106e-4
AC092162.1	5.28793e-4
DIAPH1	5.29271e-4
RP11-815J21.1	5.30152e-4
TMEM169	5.34674e-4
SYNPO2L	5.36493e-4
GSDMD	5.36547e-4
CTC-506B8.1	5.36547e-4
RASGEF1C	5.38682e-4
IL21R	5.39252e-4
RPL7P47	5.39475e-4
FTX	5.40751e-4
PTPRS	5.41092e-4
RP11-529A4.12	5.42377e-4
GRAMD1C	5.43669e-4
AC096951.1	5.43669e-4
SRD5A1	5.44435e-4
IL17RA	5.44435e-4
RP5-1119D9.4	5.45328e-4
BCL2L14	5.45766e-4
NLRP9	5.45766e-4
RXFP4	5.4678e-4
RP11-122G18.8	5.46791e-4
LSP1	5.47658e-4
RNY4P25	5.48059e-4
LSM4	5.49904e-4
DHRS3	5.52466e-4
ZKSCAN7	5.52466e-4
RAC1P3	5.54322e-4
RHOB	5.55273e-4
GUCA1A	5.58071e-4
TSC1	5.58476e-4
RP4-791C19.1	5.5874e-4
C1RL	5.59212e-4
PPIAP19	5.59212e-4
COL13A1	5.59891e-4
RP11-58H15.3	5.59891e-4
HIST1H2AL	5.62526e-4
KCNN3	5.64912e-4
RP1-274L7.1	5.70118e-4
RP11-101O21.1	5.71088e-4
AGTPBP1	5.72236e-4
MKI67	5.74506e-4
RP11-1379J22.2	5.74506e-4
COL8A2	5.74592e-4
FBXL13	5.74903e-4
CLDN2	5.75162e-4
EMP2	5.75189e-4
HMOX1	5.7572e-4
LTV1	5.76466e-4
HIST1H3I	5.76466e-4
CTD-2042D5.1	5.76466e-4
GPRIN3	5.80395e-4
RP3-340B19.5	5.80581e-4
GALNT13	5.86916e-4
NAGA	5.87488e-4
GALNT16	5.88303e-4
SAR1AP4	5.88952e-4
MT1M	5.93026e-4
CHI3L2	5.93124e-4
KCNA5	5.93748e-4
HABP4	5.93748e-4
RP11-248J18.2	6.0426e-4
RP11-1C1.5	6.06563e-4
HHAT	6.06835e-4
TNFAIP8L3	6.08281e-4
RP11-64B16.2	6.08622e-4
RP11-13J10.1	6.09479e-4
AZI1	6.18523e-4
NRAS	6.22168e-4
EGR2	6.25515e-4
ESYT3	6.26611e-4
AC007563.3	6.26805e-4
RP11-256I23.3	6.28704e-4
RP11-310J24.3	6.30521e-4
SNORD116-13	6.3134e-4
COL6A2	6.34398e-4
RP11-732M18.3	6.34826e-4
RP11-547D23.1	6.35166e-4
RPS20P14	6.36796e-4
ZNF555	6.39995e-4
USP32P3	6.40951e-4
TEDDM1	6.42023e-4
HAS2	6.42363e-4
RNF32	6.43104e-4
KRTCAP3	6.44082e-4
R3HCC1	6.44772e-4
SLC35F1	6.44772e-4
RP11-290F20.3	6.44772e-4
GPR133	6.46698e-4
GPR26	6.46698e-4
COL11A2	6.46698e-4
RP11-482L11.1	6.48725e-4
WDR88	6.48929e-4
CES2	6.48929e-4
IGFBPL1	6.50108e-4
SECISBP2L	6.50524e-4
METTL9	6.53101e-4
RP11-344N10.5	6.53101e-4
AL353671.1	6.53319e-4
YTHDC1	6.54162e-4
AGPAT3	6.54162e-4
SLC5A6	6.58548e-4
CD83	6.59353e-4
ZC4H2	6.61731e-4
ACR	6.63845e-4
RPS2P32	6.64817e-4
ANG	6.67495e-4
RP11-489G11.3	6.67953e-4
RPL5P14	6.68198e-4
APLP1	6.69504e-4
RP11-661A12.9	6.71281e-4
RP11-570L15.1	6.76087e-4
RP3-477O4.5	6.76103e-4
AC004112.7	6.77084e-4
SPATA2L	6.78831e-4
AIG1	6.79614e-4
BAI2	6.81504e-4
GRIK4	6.81504e-4
STARD4	6.83466e-4
NRGN	6.90836e-4
PER2	7.00872e-4
RP11-314A20.1	7.02216e-4
MIR223	7.05638e-4
FAM26F	7.08402e-4
TBRG1	7.08511e-4
SCTR	7.10828e-4
FAM76A	7.12755e-4
FAM71E1	7.12755e-4
GBGT1	7.12755e-4
RP3-418C23.2	7.12975e-4
VGF	7.1632e-4
KB-1410C5.3	7.17013e-4
CYR61	7.23088e-4
RP11-367H1.1	7.26655e-4
RP11-196G11.4	7.27246e-4
CFHR4	7.28245e-4
AP003733.1	7.30591e-4
NIPAL2	7.33531e-4
CCDC88A	7.34304e-4
ABLIM1	7.3525e-4
RP11-340I6.5	7.3525e-4
MUL1	7.36524e-4
LHFPL3	7.39057e-4
MUC16	7.41825e-4
SLC2A9	7.44996e-4
RNU4-62P	7.44996e-4
PLBD2	7.47696e-4
MIR3682	7.49653e-4
GOLGA6B	7.51111e-4
TRIM26	7.56338e-4
SHE	7.56958e-4
ADAMTS8	7.61185e-4
MID2	7.64408e-4
AP001596.6	7.77446e-4
FREM2	7.78831e-4
GYG1	7.83107e-4
RPL7AP30	7.83107e-4
SLC7A9	7.85231e-4
CDH16	7.90349e-4
LTBR	7.91366e-4
POSTN	7.91366e-4
MFSD7	7.93042e-4
CTCFL	7.98214e-4
GJA4	8.0465e-4
KREMEN2	8.12356e-4
HERC2P2	8.1798e-4
ADAMTS12	8.1798e-4
RP11-47G11.3	8.19833e-4
VLDLR	8.217e-4
LILRA6	8.22143e-4
PSTPIP2	8.25211e-4
AC010886.2	8.33228e-4
CADM4	8.34563e-4
SLC16A9	8.34563e-4
CCDC60	8.34563e-4
AQP3	8.3888e-4
GNAO1	8.42392e-4
FAM110D	8.43903e-4
CD247	8.43903e-4
LINC00963	8.45009e-4
RP11-288C17.1	8.45248e-4
RP11-90J7.2	8.49784e-4
AC092664.1	8.49784e-4
ZNF44	8.50987e-4
HS3ST5	8.53671e-4
SLC22A12	8.56915e-4
C5orf58	8.58452e-4
RNU6-358P	8.58452e-4
AC004449.6	8.61092e-4
CDK5R2	8.62016e-4
CTD-2049J23.3	8.64735e-4
PCDH15	8.68014e-4
C1orf123	8.68014e-4
SMAD4	8.70983e-4
APLNR	8.71935e-4
KLHDC8A	8.7469e-4
MT1G	8.75817e-4
NPR2	8.75817e-4
AC073842.18	8.75817e-4
RP11-384P7.7	8.77219e-4
ZBTB16	8.77397e-4
NELFCD	8.79074e-4
DRC1	8.79599e-4
PER3	8.80265e-4
SYN3	8.80265e-4
RPS12P10	8.82029e-4
GPS2	8.83461e-4
LIMK2	8.84313e-4
ZNF503	8.87927e-4
LRRC10B	8.87927e-4
CHST11	8.88172e-4
RN7SKP255	8.88258e-4
XXbac-B444P24.8	8.893e-4
PRSS53	8.91221e-4
C5orf45	8.93048e-4
RP11-597K23.2	8.93048e-4
MIR4280	8.93048e-4
AC007292.3	8.95708e-4
PRKCQ	9.00218e-4
ZNF18	9.01226e-4
SLC5A1	9.01748e-4
FZD7	9.01748e-4
PLEKHG4	9.01748e-4
SNORD116-30	9.01748e-4
RNU6-554P	9.03442e-4
HSPBAP1	9.03514e-4
TRIM38	9.05352e-4
AC021188.4	9.0553e-4
FEM1A	9.0628e-4
RP11-369E15.1	9.15124e-4
RP11-173M1.8	9.15124e-4
NID1	9.20467e-4
LRRCC1	9.20619e-4
PGM2	9.22108e-4
AC078842.4	9.24292e-4
GDF11	9.25047e-4
GALNT1	9.25047e-4
AC106883.1	9.25047e-4
TNFRSF1A	9.33128e-4
ZBTB1	9.33128e-4
GJA9	9.35478e-4
VTCN1	9.38704e-4
BBS1	9.40688e-4
AC002398.5	9.41693e-4
SEC24B	9.46768e-4
N4BP2	9.57048e-4
FAM160A1	9.57595e-4
NLGN3	9.63123e-4
PCDH9	9.6532e-4
FUCA1P1	9.6532e-4
IRF2BP1	9.66752e-4
MFAP5	9.66752e-4
FIP1L1	9.68995e-4
UACA	9.7216e-4
RP11-476M19.2	9.7396e-4
PPP1R10	9.79665e-4
AC093415.2	9.81215e-4
PLP2	9.85013e-4
ATPAF2	9.85385e-4
IP6K2	9.86854e-4
SCD	9.93273e-4
LPP	9.93273e-4
RP11-3D4.2	9.93273e-4
MARCKSL1	0.001002442
RP11-395N3.1	0.001002442
RNU6-1010P	0.001002552
MRPL53	0.001002552
TRABD2B	0.001002552
SCFD2	0.001004689
SNORD41	0.001004689
CTD-3138F19.1	0.001004689
EED	0.001009835
RP11-28G8.1	0.001009835
ING5	0.001012008
RP4-564M11.2	0.001015782
ACVR2B	0.001016032
CEACAM19	0.00101754
AADAT	0.001017799
MIR181A1HG	0.001018944
ZNF433	0.001019315
KRT18P6	0.001019315
RP11-127I20.7	0.001019315
MCAM	0.001019675
PHYHD1	0.001021357
TMEM244	0.001024158
RP11-368I23.2	0.00102533
CBLN1	0.001027254
RUFY1	0.001027254
CX3CL1	0.001031367
H1FX-AS1	0.001032001
SH3GL3	0.001036159
PPP2R5B	0.001036776
C16orf54	0.001044136
ATXN1L	0.001044389
SNORD85	0.001048106
LCN6	0.001048106
CTD-2623N2.3	0.001048106
TCIRG1	0.001049464
CTD-3234P18.2	0.00105083
AKIRIN1	0.001054327
DSC2	0.0010590040000000001
TNIP3	0.001063666
MYOF	0.001063666
MT-ATP8	0.001063666
C12orf71	0.001065371
RPS3AP5	0.001072818
YBX2	0.00107635
APOL1	0.00107635
CSF3R	0.00107635
SRGN	0.00107635
RDH12	0.00107635
PPP2R2B	0.00107635
RP11-299P2.1	0.00107635
HSD3B7	0.001076553
TMEM47	0.001076929
HPDL	0.001076929
ZDHHC9	0.001076929
APC2	0.001078348
CASK	0.001084897
NAP1L4P1	0.001084897
CTD-2509G16.5	0.001084897
ADAMTS16	0.001092502
GPR114	0.001093048
C12orf55	0.001095628
MDFI	0.001097319
PRSS3P4	0.001097319
AC006946.15	0.001097319
RP11-307L3.2	0.001107712
SNORA70G	0.001109523
IL31RA	0.001109898
SRRM2-AS1	0.001111576
CTC-444N24.8	0.001111576
ZNF98	0.001114554
MOB1A	0.001124293
MT1F	0.001131874
RP11-141M1.3	0.001133853
CDA	0.001136724
LINC00896	0.001139285
HERC2P10	0.001140641
AC025811.2	0.001142989
RP11-731J8.2	0.001145112
GNAZ	0.001145993
RP11-168A11.4	0.00114722
RPL7P23p	0.001150243
RP11-264F23.3	0.001150243
NPM1P10	0.001156186
LINC00525	0.001158972
CXorf30	0.001158972
RP11-553P9.1	0.001158972
LILRA1	0.001160722
RP11-2F9.3	0.001160722
HMGN2P7	0.001160722
DIAPH2-AS1	0.001160722
CTD-3157E16.1	0.001160722
RP11-259K5.1	0.001160722
HSP90AA5P	0.001162174
TH	0.001170069
NPIPP1	0.001174248
HSPB8	0.001177106
AC007249.3	0.001183589
RP11-809O17.1	0.00118361
RP11-315L6.1	0.00118361
SNX4	0.001185978
RP11-137H2.6	0.001185978
RP11-18I14.10	0.001192481
PRSS37	0.00119322
OVCH1	0.001193383
DPH1	0.001193425
CTD-2049O17.1	0.001195096
RP11-578F21.9	0.001195096
SYT17	0.001201732
CDKL5	0.001202652
OR52E2	0.001210389
PPEF1	0.001212602
GPR3	0.001212602
AC104651.2	0.001212683
APOL2	0.001213924
RPL23AP46	0.0012148320000000001
JMJD1C-AS1	0.001223917
ANKRD19P	0.001227948
RP11-475J5.4	0.001233585
TMEM109	0.001234825
AC005003.1	0.001239386
TNFAIP8	0.001242698
CRH	0.001243565
SLC26A11	0.001248942
CTD-2206G10.2	0.001248942
ANKRD20A10P	0.001255854
TXNDC5	0.001260416
RP11-800A3.4	0.001262794
PPP1R26	0.001262819
MPP3	0.001265394
KCTD2	0.001266063
TNFRSF10B	0.001267996
SIX3	0.001271942
CARS	0.001272813
PCK1	0.00127784
DUSP10	0.001278245
TMTC1	0.001279694
RP11-420K8.2	0.001280905
RP11-320M2.1	0.001280905
KIAA1984-AS1	0.001285509
GALNT14	0.001286196
IRGQ	0.001286196
CHST2	0.001287007
PDZD8	0.001303823
NFKBIA	0.001309725
AP001469.7	0.001309725
RP11-129K12.4	0.001309725
RP11-798M19.6	0.001319419
SEC61A2	0.001319695
EPN2	0.001319812
RP11-98D18.3	0.001322525
PNCK	0.001324811
UBASH3A	0.001330454
RP11-247L20.3	0.001337712
COL6A3	0.001338066
SNORD115-43	0.001338312
CD3E	0.001339176
LINC00841	0.001349188
TPR	0.001357104
B4GALT1	0.001360977
RP11-742D12.2	0.00136413
TBPL2	0.001368539
RP5-1092A3.4	0.001368539
RNU6-760P	0.001371812
ARHGEF2	0.001376633
RPS3AP22	0.001376633
LPAR2	0.001378246
FTH1	0.001378246
RP11-368J22.2	0.001378839
P2RY2	0.001381895
RP11-212P7.2	0.001382476
RPL36AP13	0.001382967
DEF6	0.001387114
RP11-482M8.3	0.001392331
UBE2G1	0.001393935
SGPP2	0.001399757
MIR26A2	0.001401448
AC002366.3	0.001404403
RP11-981G7.1	0.001413917
RP11-413M3.4	0.001414
STK39	0.001418411
AGFG2	0.001428509
RP11-546B8.3	0.001429094
TBC1D2B	0.001439966
SERPINF2	0.001444046
MRPS6	0.001449125
ITGB8	0.001458357
RP11-206L10.1	0.001460626
CACNA1G	0.001462342
CLDN1	0.001469225
AC131025.8	0.001469225
SNHG10	0.001470893
SEC14L5	0.001473796
HMGXB3	0.001475522
RP11-5K23.5	0.001475522
FTH1P2	0.001475522
PTP4A1	0.001485689
PTPDC1	0.001485689
SNORA9	0.001485689
ARHGAP42	0.001489003
AC019118.4	0.00149124
DTX3L	0.001493909
C16orf71	0.001493909
CTD-2561B21.11	0.001496889
NBEAL2	0.001498934
NPRL2	0.001504167
RP11-279N8.1	0.001504981
RP11-799B12.2	0.001504981
PTH1R	0.001506891
ZSCAN12P1	0.001509033
RP11-39K24.14	0.001509033
STMN1	0.001509413
OR2R1P	0.001513803
GHRHR	0.001524714
SNORD115-35	0.001529285
RNA5SP397	0.001539734
HTR7P1	0.00154138
COL14A1	0.001545067
AC017048.2	0.001545488
C19orf77	0.001547155
MAOA	0.00154759
SNORD6	0.001550343
CTB-25B13.6	0.001551616
A2M	0.00157159
DNAI1	0.001573448
PRKG1	0.001573448
RP11-108K14.4	0.001573448
VENTXP5	0.001573448
GUCY2F	0.001573725
RP11-17G12.2	0.001576747
RN7SL3	0.001578634
KCNK16	0.001579763
RP11-340I6.4	0.001588211
SF3A3P2	0.001589084
TMEM176A	0.001589905
FCER1A	0.001589905
BNIP3L	0.001602796
SGCD	0.001602796
ZSCAN32	0.001603736
CTC-360J11.4	0.001605958
RP5-890O3.9	0.001613343
DENND2D	0.001617047
SRGAP3-AS2	0.001617047
SLC25A33	0.001619094
HTR4	0.001621077
RP11-157P1.4	0.00162413
GLS2	0.0016259
RP4-753D10.3	0.001636422
AC005077.12	0.001644034
AL031666.2	0.00164495
LL22NC03-104C7.1	0.001647096
CTSV	0.001647792
GAPDHP62	0.001650849
AC124890.1	0.001654465
NR1H3	0.001656403
ZPLD1	0.001656403
RP1-288L1.5	0.001659185
OPALIN	0.001660442
IRAK3	0.001660653
NRARP	0.001672113
AL136531.1	0.001672113
HIVEP2	0.001673488
SLC22A2	0.001678861
SOST	0.001678861
RP11-57K17.1	0.001681237
AC007557.2	0.001685483
AATK	0.001688178
OXCT2	0.001688178
SSH1	0.001688617
CACNA1C-AS2	0.001688617
TDRP	0.001700578
RP11-730A19.9	0.00170181
EVC	0.001710877
RP11-212F11.1	0.00171345
PHKG1	0.001716013
RNU6-1089P	0.001719543
SIRT3	0.001728205
AGPAT4	0.001730274
SH3RF2	0.001731349
SLC22A11	0.001731349
SMURF2P1	0.001732096
AC107021.1	0.001749317
RRBP1	0.001750547
LINC00846	0.001755736
FILIP1	0.001759864
MICALCL	0.001759864
CTC-455F18.3	0.001759864
RP11-162A12.3	0.001765281
AEN	0.001766456
TAMM41	0.001768118
C21orf62	0.00177963
GPR150	0.001785224
FENDRR	0.001789157
FAM160A2	0.001791679
WNT7A	0.001791679
NEK2	0.001796276
ABTB1	0.001802973
ETS1	0.001810861
GRIK3	0.001810861
RP13-585F24.1	0.001812637
TXNL1	0.001825933
SNORD3B-2	0.001836813
RP11-849H4.4	0.001837974
ZEB2	0.001839498
KIF2A	0.001841351
RGMA	0.001843498
RP11-43N5.1	0.001843498
RP11-190J23.1	0.001843627
GYPC	0.001850515
SUSD3	0.001852977
TRDN	0.001853725
SOX8	0.001858077
CFHR5	0.001858077
TRIM52	0.001858077
CTD-2308L22.1	0.001859153
HGF	0.00186162
HBEGF	0.00186162
RP11-1186N24.5	0.00186162
RPL39P38	0.001863329
SFI1	0.001864282
EFHC1	0.001864454
ICK	0.001866451
MIR579	0.001866451
GAPDHP49	0.001869383
DCAF13	0.001871491
MYSM1	0.0018727
RP11-663P9.1	0.001873048
RP11-176H8.1	0.001883384
AC004980.7	0.001889307
GCHFR	0.001902714
DKK2	0.001903752
RP11-192H23.4	0.001903765
AC007879.2	0.001904665
TNRC6A	0.001913771
RP4-777D9.2	0.00191881
EIF4H	0.001923184
RP11-203M5.7	0.001923184
RP1-104O17.1	0.001929198
NUFIP1	0.00192936
CEP85L	0.001931316
MGLL	0.001932345
DSG3	0.001934545
IL10	0.00193591
BRICD5	0.00193591
RP4-798P15.3	0.001945041
PACSIN2	0.001945294
DDIT4L	0.001945294
OR4M2	0.001945294
RP11-427H3.3	0.001945294
CTD-2017D11.1	0.001949612
SPHK2	0.001950379
ADAR	0.001951862
SIPA1L1	0.001951862
RP3-510D11.1	0.001951862
RP11-834C11.4	0.001951862
RP11-480C16.1	0.001951862
RP11-474G23.1	0.001951862
