HEIGHT(control)	P
EFNA1	8.63E-09
SLC50A1	0.65242
KRTCAP2	5.00E-10
TRIM46	5.63E-12
MUC1	0.00085583
THBS3	3.30E-10
GBA1	0.62429
ENTREP3	0.34437
SCAMP3	0.36967
CLK2	0.056742
HCN3	0.23265
PKLR	0.12353
FDPS	0.40654
RUSC1-AS1	0.79963
RUSC1	0.70493
ASH1L	0.087693
YY1AP1	0.099125
DAP3	0.0024031
GON4L	0.027183
SYT11	0.030741
RIT1	0.0022579
KHDC4	0.0013535
ARHGEF2	0.0079895
SSR2	1.13E-06
UBQLN4	1.21E-06
LAMTOR2	0.0032852
RAB25	0.00076055
MEX3A	0.00054645
LMNA	2.99E-15
SEMA4A	4.00E-11
SLC25A44	9.32E-11
PMF1	1.03E-11
PMF1-BGLAP	9.69E-12
BGLAP	0.018451
PAQR6	0.0006758
SMG5	4.13E-07
TMEM79	0.00023551
GLMP	0.00010966
CCT3	1.58E-07
TSACC	5.00E-10
RHBG	0.0023672
MIR9-1HG	2.35E-12
MEF2D	1.70E-15
IQGAP3	0.020493
TTC24	0.86457
NAXE	0.83475
GPATCH4	0.60441
HAPLN2	0.11328
BCAN	2.47E-06
NES	1.53E-07
CRABP2	0.023632
ISG20L2	1.77E-07
METTL25B	5.00E-10
MRPL24	0.024324
HDGF	1.53E-11
PRCC	3.43E-09
SH2D2A	0.022268
NTRK1	0.0010295
INSRR	0.0010644
PEAR1	9.29E-06
LRRC71	1.36E-13
ARHGEF11	3.41E-15
ETV3L	1.16E-10
ETV3	0.030356
FCRL5	0.37481
FCRL4	0.0063132
FCRL3	0.31783
FCRL2	0.96788
FCRL1	0.60816
CD5L	0.83511
KIRREL1	0.0013495
CD1D	0.12464
CD1A	0.3711
CD1C	0.22749
CD1B	0.63262
CD1E	0.87646
OR10T2	0.74896
OR10K1	0.91308
OR10R2	0.63485
OR6Y1	0.18559
OR6P1	0.77954
OR10X1	0.79384
SPTA1	0.088108
OR6K3	0.6263
OR6K6	0.30224
OR6N1	0.74863
OR6N2	0.80413
MNDA	0.3138
PYHIN1	0.067636
IFI16	0.48005
AIM2	0.0098226
CADM3	0.049057
ACKR1	0.27133
FCER1A	0.93256
OR10J3	0.53263
OR10J1	0.85206
OR10J5	0.33466
APCS	0.31695
CRP	0.094328
DUSP23	0.0058868
FCRL6	0.53797
SLAMF8	0.97914
SNHG28	0.96538
VSIG8	0.038097
CFAP45	0.0024771
TAGLN2	0.0037996
IGSF9	0.12677
SLAMF9	0.78634
PIGM	0.41117
KCNJ10	0.068786
KCNJ9	0.0053662
IGSF8	0.066165
ATP1A2	0.35193
ATP1A4	0.10809
CASQ1	6.11E-14
PEA15	5.00E-10
DCAF8	4.28E-16
PEX19	5.00E-10
COPA	1.56E-15
NCSTN	9.85E-13
NHLH1	2.52E-06
VANGL2	2.37E-17
SLAMF6	0.072799
CD84	0.27627
SLAMF1	0.15533
CD48	0.40176
SLAMF7	0.040035
LY9	0.09272
CD244	0.11917
ITLN1	0.20858
ITLN2	0.5626
F11R	0.080787
USF1	0.19622
ARHGAP30	0.39129
NECTIN4	0.26129
KLHDC9	0.0026729
PFDN2	0.08128
NIT1	0.0017813
DEDD	0.0029996
UFC1	0.46384
USP21	0.82365
PPOX	0.010004
B4GALT3	0.0062128
ADAMTS4	0.013819
NDUFS2	0.0013058
FCER1G	0.02433
APOA2	0.035246
TOMM40L	0.32984
NR1I3	0.00079824
PCP4L1	0.073422
MPZ	0.16079
SDHC	0.11757
CFAP126	0.048844
FCGR2A	0.00049045
FCGR3A	0.82661
FCGR2B	0.16295
FCRLA	0.63331
FCRLB	0.072759
DUSP12	0.07207
ATF6	0.035631
OLFML2B	4.40E-07
NOS1AP	6.80E-06
SPATA46	0.019218
C1orf226	0.0017213
SH2D1B	0.11979
UHMK1	0.0001463
UAP1	0.045269
DDR2	1.65E-16
HSD17B7	0.0040793
CCDC190	0.0069358
RGS4	0.18953
RGS5	0.0024213
NUF2	0.12519
PBX1	0.00045873
LMX1A	5.67E-09
RXRG	9.64E-16
LRRC52	1.40E-05
MGST3	7.68E-12
ALDH9A1	8.10E-05
TMCO1	0.020406
UCK2	0.00073672
FAM78B	0.00038915
POGK	0.11307
TADA1	0.060778
ILDR2	0.061289
MAEL	0.089703
GPA33	0.12473
STYXL2	0.0041915
POU2F1	4.97E-05
CD247	0.16084
CREG1	0.3054
RCSD1	4.21E-05
MPZL1	6.88E-06
ADCY10	6.35E-11
MPC2	2.71E-05
DCAF6	4.49E-09
GPR161	3.86E-11
TIPRL	0.0001133
SFT2D2	1.12E-12
TBX19	1.60E-10
XCL1	0.36809
DPT	0.00045054
LOC101928596	2.99E-05
ATP1B1	0.23333
NME7	0.22199
BLZF1	0.40388
CCDC181	0.40019
SLC19A2	0.6068
F5	0.065044
SELP	0.062511
SELL	3.70E-05
SELE	6.56E-07
METTL18	0.027308
FIRRM	5.84E-07
SCYL3	3.34E-07
KIFAP3	3.61E-09
NTMT2	4.11E-08
GORAB	3.75E-05
PRRX1	1.13E-15
MROH9	9.36E-08
FMO3	3.66E-05
FMO2	0.14699
FMO1	0.0046457
FMO4	0.0045088
PRRC2C	2.19E-12
MYOC	1.08E-06
VAMP4	1.20E-15
METTL13	9.64E-17
DNM3	5.00E-10
C1orf105	5.00E-10
PIGC	5.00E-10
SUCO	2.42E-14
FASLG	8.02E-07
TNFSF18	0.001751
TNFSF4	0.10024
PRDX6	0.34986
SLC9C2	0.20452
ANKRD45	0.078024
TEX50	0.28514
KLHL20	0.00067019
CENPL	1.72E-06
DARS2	1.24E-05
ZBTB37	2.35E-07
SERPINC1	1.96E-09
RC3H1	0.015663
RABGAP1L	9.98E-08
GPR52	0.11024
CACYBP	0.029163
MRPS14	0.0059762
TNN	0.00023888
KIAA0040	0.26732
TNR	8.42E-07
COP1	6.33E-16
PAPPA2	1.32E-14
ASTN1	6.91E-15
BRINP2	4.25E-12
SEC16B	8.72E-12
RASAL2	0.0039967
CLEC20A	0.0056152
TEX35	0.08425
RALGPS2	2.50E-05
ANGPTL1	0.0034917
FAM20B	2.02E-15
TOR3A	1.16E-11
ABL2	5.00E-10
SOAT1	2.57E-12
AXDND1	1.46E-12
NPHS2	1.86E-07
TDRD5	0.013056
FAM163A	2.34E-06
TOR1AIP2	0.0018289
TOR1AIP1	0.0068918
CEP350	2.49E-09
QSOX1	5.56E-05
LHX4	1.36E-05
ACBD6	6.61E-08
XPR1	9.01E-10
KIAA1614	2.56E-15
STX6	0.00025278
MR1	0.00013066
IER5	0.00010076
CACNA1E	0.0039678
ZNF648	0.00012542
GLUL	0.013091
TEDDM1	0.010684
RGSL1	0.12393
RNASEL	0.064624
RGS16	0.033761
RGS8	0.07875
NPL	0.0036063
DHX9	0.00020966
SHCBP1L	4.90E-05
LAMC1	5.00E-10
LAMC2	2.58E-15
NMNAT2	1.17E-11
SMG7	6.04E-14
NCF2	1.65E-07
ARPC5	3.94E-10
RGL1	7.79E-14
APOBEC4	9.91E-08
COLGALT2	5.00E-10
TSEN15	5.00E-10
C1orf21	5.00E-10
EDEM3	0.0028549
NIBAN1	4.28E-06
RNF2	2.14E-08
TRMT1L	6.29E-08
SWT1	1.19E-08
IVNS1ABP	5.03E-09
HMCN1	7.66E-09
PRG4	0.11295
TPR	0.12987
ODR4	0.17959
PDC	0.78389
PTGS2	0.27317
PLA2G4A	0.43564
NA	0.64432
BRINP3	0.003121
RGS18	0.73253
RGS21	0.84919
RGS1	0.11943
RGS13	0.29037
UCHL5	0.13362
RO60	0.027792
GLRX2	0.076167
CDC73	0.037751
B3GALT2	0.034821
KCNT2	0.30947
CFH	0.094951
CFHR3	0.0014005
CFHR1	0.070538
CFHR4	0.77682
CFHR2	0.94492
CFHR5	0.35259
F13B	0.0083907
ASPM	0.13262
ZBTB41	0.011406
CRB1	9.28E-08
DENND1B	0.0021238
LHX9	0.6714
NEK7	7.11E-10
ATP6V1G3	0.0061477
PTPRC	0.011802
NR5A2	1.15E-15
ZNF281	7.94E-07
KIF14	0.28898
DDX59	0.48594
CAMSAP2	0.0015356
GPR25	0.22422
INAVA	0.0015238
KIF21B	8.15E-06
CACNA1S	0.00039466
TMEM9	0.055616
IGFN1	0.41773
PKP1	0.061308
TNNT2	0.71187
LAD1	0.66521
TNNI1	0.06087
CSRP1	3.16E-08
NAV1	5.88E-09
IPO9	0.036547
SHISA4	0.15183
LMOD1	0.00011644
TIMM17A	1.13E-05
RNPEP	1.36E-06
ELF3	0.00020804
GPR37L1	0.19565
ARL8A	0.030288
PTPN7	0.0090015
LGR6	3.11E-08
UBE2T	0.056173
PPP1R12B	0.03117
SYT2	0.033248
KDM5B	0.3953
RABIF	8.11E-05
KLHL12	2.50E-05
ADIPOR1	0.005996
CYB5R1	0.001383
TMEM183A	0.00037004
PPFIA4	0.004211
MYOG	0.34461
ADORA1	0.40032
MYBPH	0.22966
CHI3L1	0.30436
CHIT1	0.81884
BTG2	1.53E-09
FMOD	0.00020124
PRELP	0.53539
OPTC	0.24546
ATP2B4	4.84E-05
LAX1	6.18E-07
ZC3H11A	9.87E-13
ZBED6	5.00E-10
SNRPE	8.95E-07
SOX13	1.18E-05
ETNK2	2.42E-05
REN	2.29E-12
KISS1	2.15E-11
GOLT1A	7.26E-09
PLEKHA6	1.67E-08
PPP1R15B	0.74542
PIK3C2B	6.80E-05
MDM4	3.03E-13
LRRN2	0.00013099
NFASC	0.053564
CNTN2	7.45E-06
TMEM81	0.13034
RBBP5	2.39E-07
DSTYK	3.11E-05
TMCC2	4.74E-06
NUAK2	0.0051199
KLHDC8A	0.0011547
LEMD1	0.0015017
CDK18	2.29E-06
MFSD4A	5.29E-05
ELK4	1.66E-07
SLC45A3	1.47E-15
NUCKS1	5.00E-10
RAB29	8.88E-11
SLC41A1	7.89E-16
PM20D1	4.82E-15
SLC26A9	8.37E-06
AVPR1B	2.52E-06
RHEX	0.28667
CTSE	0.58868
IKBKE	0.023097
RASSF5	2.70E-05
EIF2D	0.17209
DYRK3	0.85468
MAPKAPK2	2.08E-11
IL10	3.69E-06
IL19	0.0012633
IL20	0.94398
IL24	0.00028166
FCMR	0.0018574
PIGR	0.098083
FCAMR	0.018004
C1orf116	0.00088161
PFKFB2	4.15E-14
YOD1	8.34E-09
C4BPB	8.85E-07
C4BPA	6.92E-06
CD55	0.00050783
CR2	0.00043838
CR1	0.0012296
CR1L	0.0012745
CD46	1.87E-07
CD34	0.099537
PLXNA2	1.43E-06
MIR205HG	0.47014
CAMK1G	0.15874
LAMB3	0.0035474
HSD11B1	5.40E-10
TRAF3IP3	9.62E-06
C1orf74	0.00959
IRF6	0.026479
UTP25	0.043292
SYT14	0.00041889
SERTAD4	6.80E-10
HHAT	2.99E-15
KCNH1	7.08E-11
RCOR3	2.78E-09
TRAF5	2.92E-08
RD3	0.000973
SLC30A1	0.16985
NEK2	0.11726
LPGAT1	5.00E-10
INTS7	3.44E-15
DTL	5.00E-10
PPP2R5A	1.49E-15
PACC1	7.39E-16
NENF	3.70E-11
ATF3	0.00036488
GARIN4	2.71E-05
BATF3	0.91537
NSL1	0.029815
TATDN3	0.0033651
SPATA45	0.005177
FLVCR1	0.18485
VASH2	0.00044028
ANGEL2	2.85E-08
RPS6KC1	3.29E-05
PROX1	5.94E-06
SMYD2	0.00063742
PTPN14	5.00E-10
CENPF	0.00029921
KCNK2	1.97E-09
KCTD3	0.00084837
USH2A	0.018972
ESRRG	2.82E-18
GPATCH2	5.00E-10
SPATA17	5.00E-10
RRP15	2.04E-15
TGFB2	5.00E-10
LYPLAL1	1.61E-15
SLC30A10	0.32913
EPRS1	0.083199
BPNT1	0.37076
IARS2	0.011569
RAB3GAP2	0.0015188
MARK1	4.67E-10
C1orf115	1.50E-11
MTARC2	1.92E-07
MTARC1	8.21E-09
HLX	5.66E-14
DUSP10	1.62E-07
HHIPL2	0.0014943
TAF1A	0.027198
MIA3	0.0017764
AIDA	0.015132
BROX	0.0068127
FAM177B	0.041894
DISP1	5.00E-10
TLR5	7.91E-10
SUSD4	1.77E-05
CCDC185	0.10312
CAPN8	0.0073713
CAPN2	0.0029126
TP53BP2	0.0030007
FBXO28	0.0090928
DEGS1	4.82E-08
NVL	0.023093
CNIH4	5.00E-10
WDR26	5.00E-10
NA	5.00E-10
CNIH3	0.010514
DNAH14	3.45E-06
LBR	1.34E-06
ENAH	5.09E-10
SRP9	0.0034809
EPHX1	2.16E-08
TMEM63A	0.10624
LEFTY1	0.85274
PYCR2	0.073371
LEFTY2	0.027628
SDE2	3.77E-05
H3-3A	8.23E-07
ACBD3	2.78E-14
LIN9	7.27E-14
PARP1	0.30879
STUM	0.00021807
ITPKB	1.41E-16
PSEN2	4.40E-11
COQ8A	5.18E-15
CDC42BPA	1.40E-13
ZNF678	2.80E-13
JMJD4	6.88E-11
SNAP47	5.00E-10
PRSS38	5.00E-10
WNT9A	1.60E-11
WNT3A	2.74E-12
LINC02809	0.38526
ARF1	1.47E-15
MRPL55	1.29E-08
GUK1	7.45E-05
GJC2	4.98E-07
IBA57	0.11341
OBSCN	5.37E-13
TRIM11	0.0013523
TRIM17	2.32E-05
H3-4	0.15534
RNF187	4.12E-08
BTNL10P	0.0079074
RHOU	6.15E-08
RAB4A	0.1873
NA	0.075366
CCSAP	0.2973
NUP133	0.20127
ABCB10	0.0024868
TAF5L	2.38E-09
URB2	1.67E-11
GALNT2	3.28E-06
PGBD5	0.35907
COG2	0.080784
AGT	4.34E-05
CAPN9	0.0014199
C1orf198	0.0129
TTC13	1.74E-15
ARV1	5.06E-14
FAM89A	1.18E-05
TRIM67	2.16E-06
TRIM67-AS1	0.69784
C1orf131	3.55E-06
GNPAT	0.35683
EXOC8	0.54385
SPRTN	0.030447
EGLN1	3.95E-05
TSNAX	0.00010338
DISC1	0.00023764
SIPA1L2	0.049894
MAP10	0.27429
NTPCR	0.31527
PCNX2	2.75E-05
MAP3K21	0.2038
KCNK1	0.062191
SLC35F3	0.3189
COA6	0.0092515
TARBP1	0.00056344
IRF2BP2	2.47E-11
TOMM20	5.00E-10
RBM34	9.83E-05
ARID4B	2.09E-15
GGPS1	4.02E-14
TBCE	1.78E-15
B3GALNT2	3.61E-10
GNG4	4.11E-07
LYST	8.59E-07
NID1	0.37028
GPR137B	7.29E-05
ERO1B	1.51E-05
EDARADD	0.083378
LGALS8	0.069414
HEATR1	0.033575
ACTN2	0.22808
MTR	0.051931
RYR2	5.18E-06
ZP4	0.55746
CHRM3	3.19E-05
FMN2	3.10E-15
GREM2	0.00023498
RGS7	3.85E-09
FH	0.026064
KMO	0.00049408
OPN3	0.0048792
CHML	0.1776
WDR64	0.0030463
EXO1	0.35753
MAP1LC3C	0.022877
PLD5	0.00092437
CEP170	6.82E-11
SDCCAG8	6.29E-16
AKT3	2.10E-06
ZBTB18	1.18E-07
C1orf100	0.0076017
ADSS2	3.42E-13
CATSPERE	6.01E-05
DESI2	0.13736
COX20	0.12394
HNRNPU	0.15067
EFCAB2	0.00044536
KIF26B	3.53E-06
SMYD3	5.31E-06
TFB2M	0.0062253
CNST	1.83E-05
SCCPDH	0.055016
KIF28P	0.0030582
AHCTF1	0.000956
ZNF695	0.011562
ZNF670	0.096615
ZNF669	0.34097
ZNF124	0.89415
VN1R5	0.00022618
ZNF496	8.74E-06
NLRP3	8.62E-06
OR2B11	0.0079651
OR2W5P	0.87023
GCSAML	0.17249
OR2C3	0.0055715
OR2G2	0.12221
OR2G3	0.041653
TRIM58	0.032969
OR13G1	0.37626
OR6F1	0.18454
OR1C1	0.056478
OR14A16	0.17091
OR11L1	0.056526
OR2W3	0.05101
OR2T8	0.43398
OR2L13	0.44239
OR2AK2	0.30232
OR2L2	0.97451
OR2L3	0.88455
OR2M4	0.76813
OR2T12	0.72236
OR2M7	0.81288
OR14C36	0.19454
OR2T6	0.90618
OR2T1	0.2079
OR2T27	0.3705
OR14I1	0.94051
SH3BP5L	0.084828
ZNF672	0.31257
ZNF692	0.41116
PGBD2	0.54286
FAM110C	8.54E-05
SH3YL1	6.53E-11
ACP1	5.00E-10
ALKAL2	5.00E-10
LOC100996637	0.98277
TMEM18	0.062423
SNTG2	0.00044106
TPO	1.80E-07
PXDN	2.56E-13
MYT1L	0.00017473
EIPR1	0.032871
TRAPPC12	0.00022549
ADI1	0.010656
RNASEH1	0.0016438
RPS7	2.87E-07
COLEC11	0.61895
ALLC	0.40079
DCDC2C	0.089317
SOX11	2.86E-05
CMPK2	0.24302
RSAD2	0.81724
RNF144A	0.00069335
ID2	0.0046486
KIDINS220	0.20022
MBOAT2	0.3256
ASAP2	5.19E-08
ITGB1BP1	1.49E-15
CPSF3	1.18E-11
IAH1	5.00E-10
ADAM17	5.00E-10
YWHAQ	6.88E-12
NA	0.0025205
TAF1B	7.38E-05
GRHL1	4.23E-10
KLF11	5.00E-10
CYS1	5.00E-10
RRM2	2.17E-06
NA	4.07E-08
HPCAL1	0.00025338
ODC1	0.016066
NOL10	4.61E-10
ATP6V1C2	1.33E-11
PDIA6	8.70E-05
C2orf50	0.0034911
SLC66A3	1.55E-15
ROCK2	2.39E-16
E2F6	0.33756
GREB1	6.32E-05
NTSR2	0.075442
LPIN1	0.25616
TRIB2	7.61E-05
LRATD1	0.66191
NBAS	0.57177
DDX1	0.00093659
MYCN	0.28423
CYRIA	2.06E-05
RAD51AP2	7.56E-06
VSNL1	3.75E-13
SMC6	1.63E-13
GEN1	6.96E-08
KCNS3	0.00028051
RDH14	0.15314
NT5C1B-RDH14	0.002858
NT5C1B	0.0025618
OSR1	6.15E-23
TTC32	5.00E-10
WDR35	1.21E-15
MATN3	5.00E-10
LAPTM4A	1.27E-15
SDC1	6.90E-06
PUM2	2.10E-15
RHOB	0.29755
HS1BP3	1.51E-09
GDF7	6.08E-07
LDAH	3.70E-10
APOB	0.15356
KLHL29	9.92E-14
ATAD2B	5.00E-10
UBXN2A	7.51E-13
MFSD2B	5.00E-10
WDCP	5.00E-10
FKBP1B	5.00E-10
SF3B6	5.00E-10
TP53I3	5.00E-10
PFN4	1.63E-10
FAM228B	5.48E-13
FAM228A	9.12E-17
ITSN2	7.53E-14
NCOA1	5.00E-10
PTRHD1	6.31E-42
CENPO	4.70E-11
ADCY3	2.04E-14
DNAJC27	5.00E-10
EFR3B	5.00E-10
POMC	5.00E-10
DNMT3A	5.00E-10
DTNB	2.64E-14
ASXL2	1.08E-16
KIF3C	5.70E-06
RAB10	3.03E-07
GAREM2	1.76E-10
HADHA	5.15E-09
HADHB	1.27E-08
ADGRF3	0.0024191
SELENOI	0.042066
DRC1	9.93E-07
OTOF	3.44E-09
FAM166C	0.014831
CIB4	6.95E-07
KCNK3	1.66E-05
SLC35F6	0.0026861
CENPA	0.20852
DPYSL5	3.71E-06
MAPRE3	6.62E-05
TMEM214	6.05E-07
AGBL5	5.46E-07
OST4	0.40588
EMILIN1	2.55E-06
KHK	3.63E-07
CGREF1	2.70E-06
ABHD1	0.00012043
PREB	0.078769
PRR30	0.083472
TCF23	0.29605
SLC5A6	8.24E-14
ATRAID	1.61E-11
CAD	6.45E-10
SLC30A3	9.39E-09
DNAJC5G	2.89E-09
TRIM54	3.91E-13
UCN	0.088934
MPV17	5.00E-10
GTF3C2	5.00E-10
EIF2B4	3.06E-37
SNX17	5.00E-10
ZNF513	2.54E-37
PPM1G	5.00E-10
NRBP1	5.00E-10
KRTCAP3	1.41E-36
IFT172	1.21E-15
FNDC4	1.01E-36
GCKR	1.07E-10
C2orf16	1.03E-11
ZNF512	2.74E-10
CCDC121	3.71E-11
GPN1	1.89E-08
SUPT7L	5.77E-06
SLC4A1AP	4.04E-06
MRPL33	0.055011
RBKS	0.10105
BABAM2	5.00E-10
FOSL2	1.33E-15
PLB1	0.00048247
PPP1CB	0.039735
SPDYA	0.041067
TRMT61B	0.0052775
WDR43	0.41405
TOGARAM2	0.08604
PCARE	0.089097
CLIP4	0.037426
ALK	0.00061343
YPEL5	0.19382
LBH	6.62E-11
LCLAT1	1.49E-10
CAPN13	0.58617
GALNT14	0.0062682
CAPN14	0.071808
EHD3	1.47E-06
XDH	1.25E-06
SRD5A2	2.79E-16
MEMO1	4.98E-16
DPY30	0.36832
SPAST	3.19E-07
SLC30A6	6.30E-05
NLRC4	0.00063959
YIPF4	1.43E-10
BIRC6	5.00E-10
TTC27	8.45E-14
LTBP1	3.23E-16
RASGRP3	2.19E-15
FAM98A	1.63E-15
CRIM1	3.28E-14
FEZ2	5.00E-10
VIT	2.93E-11
STRN	5.44E-05
HEATR5B	0.042467
GPATCH11	0.0026315
EIF2AK2	1.40E-06
SULT6B1	0.04518
CEBPZ	0.0047137
NDUFAF7	0.015102
PRKD3	0.00010741
QPCT	1.73E-15
CDC42EP3	1.08E-05
RMDN2	6.76E-16
CYP1B1	8.76E-16
ATL2	0.0005826
HNRNPLL	1.44E-15
GALM	3.10E-05
SRSF7	0.9061
GEMIN6	0.36694
DHX57	0.0014691
MORN2	0.075137
ARHGEF33	0.049555
SOS1	0.032372
CDKL4	0.00078504
MAP4K3	2.34E-09
TMEM178A	0.21295
THUMPD2	0.028571
SLC8A1	4.10E-11
LINC02898	2.85E-09
PKDCC	1.05E-15
EML4	1.32E-15
COX7A2L	1.52E-15
KCNG3	7.31E-16
MTA3	8.41E-11
OXER1	8.17E-20
HAAO	4.16E-11
ZFP36L2	5.00E-10
THADA	5.00E-10
PLEKHH2	5.00E-10
C1GALT1C1L	2.44E-07
DYNC2LI1	1.26E-09
ABCG5	7.00E-11
ABCG8	1.90E-05
LRPPRC	0.0028355
PPM1B	5.00E-10
SLC3A1	1.27E-14
PREPL	2.33E-15
CAMKMT	2.04E-13
SIX3	0.00026373
SIX2	5.00E-10
SRBD1	2.26E-15
PRKCE	2.83E-21
EPAS1	1.09E-07
TMEM247	5.00E-10
ATP6V1E2	8.26E-15
RHOQ	5.00E-10
PIGF	7.83E-16
CRIPT	5.00E-10
SOCS5	8.49E-15
MCFD2	0.0072899
TTC7A	3.51E-14
STPG4	1.04E-11
CALM2	8.12E-13
EPCAM	1.54E-07
MSH2	0.016178
KCNK12	0.011692
MSH6	4.69E-06
FBXO11	6.85E-11
FOXN2	2.46E-05
PPP1R21	2.54E-09
STON1-GTF2A1L	7.16E-06
STON1	0.0019285
GTF2A1L	3.59E-06
LHCGR	2.77E-07
FSHR	5.39E-06
NRXN1	0.00015416
ASB3	6.34E-17
GPR75-ASB3	3.48E-15
CHAC2	1.01E-06
ERLEC1	1.40E-15
GPR75	5.00E-10
PSME4	1.86E-15
ACYP2	8.52E-14
TSPYL6	3.75E-11
C2orf73	1.65E-17
SPTBN1	6.50E-14
EML6	4.73E-12
RTN4	1.87E-14
CLHC1	0.0020405
RPS27A	0.070186
MTIF2	0.016156
CCDC88A	2.74E-08
CFAP36	7.47E-12
PPP4R3B	2.30E-15
PNPT1	2.56E-15
EFEMP1	5.00E-10
CCDC85A	1.57E-06
VRK2	4.27E-11
FANCL	1.27E-06
BCL11A	4.21E-14
PAPOLG	6.97E-08
REL	1.06E-08
PUS10	2.31E-08
PEX13	5.38E-09
SANBR	1.83E-05
C2orf74	0.001569
AHSA2P	7.46E-17
USP34	4.21E-12
XPO1	5.19E-05
FAM161A	4.02E-06
CCT4	0.0088289
COMMD1	0.027022
B3GNT2	0.44166
TMEM17	0.05575
EHBP1	0.00385
OTX1	0.183
WDPCP	2.01E-08
MDH1	0.17257
UGP2	9.39E-07
VPS54	1.18E-09
PELI1	0.00022592
LGALSL	0.038057
AFTPH	0.53658
SERTAD2	1.02E-05
SLC1A4	2.37E-08
CEP68	0.0012388
RAB1A	0.0037967
ACTR2	0.022678
SPRED2	2.50E-13
MEIS1	1.49E-05
ETAA1	4.83E-06
C1D	9.37E-08
DNAAF10	5.00E-10
PNO1	7.14E-16
PPP3R1	1.95E-16
CNRIP1	1.21E-10
PLEK	0.31591
FBXO48	0.87951
APLF	0.02778
PROKR1	1.08E-09
ARHGAP25	0.00036605
BMP10	0.52024
GKN2	0.047619
GKN1	3.92E-07
ANTXR1	5.00E-10
GFPT1	0.00027675
NFU1	2.23E-06
AAK1	1.38E-11
ANXA4	8.81E-11
GMCL1	2.18E-09
SNRNP27	1.05E-06
MXD1	7.05E-11
ASPRV1	0.00018957
C2orf42	1.18E-11
TIA1	1.64E-08
PCYOX1	4.83E-07
SNRPG	3.90E-07
FAM136A	2.44E-07
TGFA	0.24255
ADD2	0.0063913
FIGLA	0.5608
CLEC4F	0.080134
CD207	0.061365
VAX2	0.0070629
ATP6V1B1	4.57E-08
ANKRD53	1.63E-05
TEX261	3.52E-06
NAGK	4.92E-13
MCEE	1.07E-10
MPHOSPH10	1.77E-09
PAIP2B	2.34E-14
ZNF638	4.90E-14
DYSF	6.71E-14
CYP26B1	7.59E-07
EXOC6B	5.00E-10
SPR	0.058623
EMX1	3.95E-05
SFXN5	0.12487
RAB11FIP5	0.60722
NOTO	0.014447
SMYD5	0.003099
PRADC1	0.0084242
CCT7	0.0016638
FBXO41	0.26337
EGR4	0.00026229
ALMS1	1.53E-05
TPRKB	2.74E-05
DUSP11	1.45E-05
STAMBP	2.35E-10
ACTG2	4.41E-10
DGUOK	3.93E-06
TET3	5.37E-15
BOLA3	5.23E-16
MOB1A	7.36E-06
MTHFD2	8.11E-09
SLC4A5	6.73E-14
DCTN1	7.69E-15
C2orf81	0.59613
WDR54	8.95E-16
RTKN	1.52E-15
INO80B	4.99E-23
WBP1	0.00073888
MOGS	6.60E-25
MRPL53	9.91E-25
CCDC142	0.063509
TTC31	5.00E-10
LBX2	1.36E-15
PCGF1	5.00E-10
TLX2	4.32E-25
DQX1	5.00E-10
AUP1	7.14E-25
HTRA2	2.30E-08
LOXL3	4.03E-12
DOK1	1.50E-05
M1AP	1.58E-08
SEMA4F	1.42E-15
HK2	0.11069
POLE4	0.011457
TACR1	0.054989
EVA1A	0.30307
MRPL19	0.28863
GCFC2	0.54916
LRRTM4	0.00014109
REG3G	0.056757
REG1B	0.62783
REG1A	0.39122
REG3A	0.18621
CTNNA2	1.98E-06
LRRTM1	0.05338
SUCLG1	0.22527
DNAH6	0.25466
TRABD2A	0.0020405
KCMF1	0.10132
TCF7L1	1.29E-08
TGOLN2	0.029186
RETSAT	0.0039595
ELMOD3	3.53E-09
CAPG	2.70E-07
MAT2A	2.56E-09
GGCX	2.13E-13
VAMP8	5.00E-10
VAMP5	5.00E-10
RNF181	1.10E-05
TMEM150A	5.00E-10
USP39	1.29E-15
C2orf68	1.17E-08
SFTPB	1.32E-10
GNLY	0.0011323
ATOH8	3.57E-12
ST3GAL5	1.49E-05
POLR1A	1.69E-06
PTCD3	7.53E-06
IMMT	0.0051556
MRPL35	0.0059993
REEP1	0.0011604
KDM3A	3.54E-14
CHMP3	2.23E-15
RNF103-CHMP3	4.32E-15
RNF103	3.40E-11
RMND5A	0.0001184
CD8A	4.74E-07
CD8B	0.0062887
KRCC1	0.13733
SMYD1	0.023233
FABP1	0.017954
THNSL2	0.022372
TEX37	7.58E-12
EIF2AK3	1.59E-11
RPIA	5.00E-10
MAL	0.018884
MRPS5	0.36952
ZNF514	3.16E-10
ZNF2	0.80592
PROM2	1.02E-09
KCNIP3	0.34547
FAHD2A	0.83658
ANKRD36C	0.053019
ADRA2B	0.073026
ASTL	0.0030002
DUSP2	0.98218
STARD7	0.08978
TMEM127	0.033681
CIAO1	0.038479
SNRNP200	0.096745
ITPRIPL1	0.29985
NCAPH	0.75023
ARID5A	0.00062382
KANSL3	6.18E-08
FER1L5	1.81E-15
LMAN2L	1.59E-09
CNNM4	2.60E-08
CNNM3	4.06E-06
ANKRD23	0.71389
ANKRD39	0.94025
SEMA4C	0.53821
FAM178B	5.15E-08
FAHD2B	0.090503
ANKRD36	0.23298
ANKRD36B	0.1432
